wine_id,wine_name,pack,purchase_price,selling_price,vintage,supplier,wine_type,po_date,po_status
W-52,Carignan Cru,1x75cl,24.25,33.86,2020,Rioja Direct,stock,2025-02-14,active
W-53,Blaufrankisch Estate,3x75cl,97.50,136.41,2019,Wachau Kellerei,stock,2025-07-07,active
W-54,Mourvedre Village,1x75cl,27.25,34.66,2017,Mendoza Andes SA,stock,2025-04-21,active
W-55,Xinomavro Selection,6x75cl,79.50,118.20,2017,Bordeaux Negoce,stock,2025-01-26,active
W-56,Xinomavro Estate,12x75cl,546.00,692.64,2000,Barossa Exports,stock,2025-04-24,active
W-57,Nero d'Avola Village,1x75cl,27.25,35.39,2025,Mendoza Andes SA,stock,2025-11-03,active
W-58,Zweigelt Single Vineyard,1x75cl,32.50,40.33,2021,Willamette Partners,stock,2025-06-08,active
W-59,Assyrtiko Cru,1x75cl,11.00,16.96,2018,Cape Winelands Ltd,stock,2025-06-21,active
W-60,Chenin Blanc Reserve Selection,1x75cl,14.00,20.66,2021,Bordeaux Negoce,stock,2025-11-11,active
W-61,Roussanne Selection,1x75cl,16.25,22.47,2022,Wachau Kellerei,stock,2025-07-22,active
W-62,Prosecco Rose Single Vineyard,1x75cl,8.00,11.75,2016,Rioja Direct,stock,2025-06-06,active
W-63,Petit Verdot Estate,1x75cl,18.00,23.44,2026,Finger Lakes Co,stock,2025-10-17,active
W-64,Marsala Superiore Reserve,1x75cl,45.00,59.36,2022,Cape Winelands Ltd,stock,2025-09-09,active
W-65,Melon de Bourgogne Selection,1x75cl,38.25,53.53,2023,Cape Winelands Ltd,stock,2025-06-13,active
W-66,Verdejo Selection,1x75cl,45.00,55.79,2000,Loire Direct,Stock,2025-07-24,active
W-66,Verdejo Selection,1x75cl,45.00,54.29,2000,Loire Direct,Stock,2025-05-04,superseded
W-67,Petit Verdot Cru,1x75cl,13.25,18.68,2018,Finger Lakes Co,Futures,2025-02-03,active
W-68,Grenache Blanc Old Vines,6x75cl,54.00,76.38,2025,Rioja Direct,stock,2025-10-28,active
W-69,Palo Cortado Classic,1x75cl,18.00,23.45,2020,Cape Winelands Ltd,stock,2025-07-16,active
W-70,Torrontes Selection,1x75cl,9.50,13.46,2022,Napa Ridge Imports,stock,2025-06-18,active
W-71,Corvina Hillside,1x75cl,32.50,39.83,2021,Rioja Direct,Stock,2025-08-20,active
W-72,Assyrtiko Estate,1x75cl,8.00,12.34,2027,Reims Cellars,stock,2025-05-28,active
W-73,Primitivo Classic,6x75cl,361.50,447.60,2000,Mosel Handel,stock,2025-11-15,active
W-74,Petit Verdot Single Vineyard,12x75cl,327.00,439.92,2023,Napa Ridge Imports,Stock,2025-04-09,active
W-75,Aglianico Classic,1x75cl,11.25,14.86,2021,Rioja Direct,Stock,2025-07-01,active
W-76,Furmint Estate,6x75cl,229.50,292.44,2017,Bordeaux Negoce,stock,2025-10-23,active
W-77,Pinot Gris Village,1x75cl,9.00,12.48,2024,Wachau Kellerei,stock,2025-01-26,active
W-77,Pinot Gris Village,1x75cl,9.00,13.58,2024,Wachau Kellerei,stock,2025-05-08,active
W-78,Melon de Bourgogne Reserve,1x75cl,32.50,41.49,2023,Mendoza Andes SA,stock,2025-10-13,active
W-79,Carignan Hillside,6x75cl,67.50,96.24,2026,Finger Lakes Co,Stock,2025-05-29,active
W-80,Champagne Rose Single Vineyard,1x75cl,8.50,12.13,2016,Loire Direct,stock,2025-04-29,active
W-81,Carignan Estate,1x75cl,9.00,13.68,2000,Barossa Exports,stock,2025-02-02,active
W-81,Carignan Estate,1x75cl,9.00,13.68,2000,Barossa Exports,stock,2025-02-02,active
W-82,Barbera d'Asti Selection,1x75cl,21.50,27.72,2018,Napa Ridge Imports,stock,2025-11-09,active
W-82,Barbera d'Asti Selection,1x75cl,21.50,26.22,2018,Napa Ridge Imports,stock,2025-05-25,superseded
W-83,Rutherglen Muscat Classic,1x75cl,32.50,42.07,2022,RIOJA DIRECT,stock,2025-05-04,void
W-83,Rutherglen Muscat Classic,1x75cl,32.50,44.07,2022,RIOJA DIRECT,stock,2025-10-14,active
W-84,Sangiovese Coastal,1x75cl,16.00,21.97,2025,Wachau Kellerei,stock,2025-06-01,active
W-85,Trebbiano Estate,1x75cl,8.25,13.32,2021,Bordeaux Negoce,Stock,2025-08-21,active
W-86,Ruby Port Coastal,1x75cl,38.50,53.04,2020,Cape Winelands Ltd,Stock,2025-07-22,active
W-86,Ruby Port Coastal,1x75cl,38.50,50.04,2020,Cape Winelands Ltd,Stock,2025-04-18,superseded
W-87,Late Bottled Vintage Port Reserve,3x75cl,96.75,119.13,NV,rioja direct,stock,2025-07-03,active
W-88,Zweigelt Estate,6x75cl,54.00,71.16,2017,Rioja Direct,Futures,2025-04-16,active
W-88,Zweigelt Estate,6x75cl,54.00,82.38,2017,Rioja Direct,Futures,2025-05-24,active
W-89,Pinot Gris Classic,6x75cl,165.00,212.10,2019,Wachau Kellerei,FUTURES,2025-02-14,active
W-90,Lambrusco Secco Reserve,12x75cl,288.00,375.84,2016,Loire Direct,stock,2025-11-10,active
W-91,Palo Cortado Cru,12x75cl,96.00,146.52,2016,Cape Winelands Ltd,stock,2025-05-12,active
W-92,Nero d'Avola Old Vines,1x75cl,32.25,38.37,2015,Rioja Direct,stock,2025-04-06,void
W-92,Nero d'Avola Old Vines,1x75cl,32.25,40.37,2015,Rioja Direct,stock,2025-05-06,active
W-93,Montepulciano Reserve,1x75cl,45.25,60.18,2000,Wachau Kellerei,stock,2025-07-17,active
W-94,Barbera d'Asti Classic,1x75cl,21.25,27.06,1999,Loire Direct,Stock,2025-06-27,active
W-95,Vermentino di Gallura Cru,1x75cl,13.25,17.57,2021,Rioja Direct,stock,2025-04-20,active
W-96,Cream Sherry Single Vineyard,1x75cl,18.50,23.96,2022,Rioja Direct,stock,2025-02-01,active
W-97,Semillon Classic,12x75cl,162.00,209.16,2017,Willamette Partners,Stock,2025-04-30,active
W-98,Cap Classique Selection,1x75cl,32.25,42.48,2022,Mosel Handel,stock,2025-07-10,active
W-98,Cap Classique Selection,1x75cl,32.25,39.48,2022,Mosel Handel,stock,2025-03-05,superseded
W-99,Vernaccia Estate,1x75cl,45.50,57.48,2026,Barossa Exports,stock,2025-09-07,active
W-100,Trebbiano Reserve,6x75cl,162.00,217.98,2021,Cape Winelands Ltd,Stock,2025-03-02,active
W-101,Pinotage Old Vines,3x75cl,73.50,96.57,2020,TUSCAN VINES,stock,2025-03-20,active
W-102,Champagne Rose Classic,3x75cl,40.50,51.87,NV,Tuscan Vines,Stock,2025-03-30,void
W-102,Champagne Rose Classic,3x75cl,40.50,57.87,NV,Tuscan Vines,Stock,2025-05-22,active
W-103,Torrontes Village,6x75cl,67.50,88.02,2018,Willamette Partners,stock,2025-09-14,active
W-104,Verdejo Cru,1x75cl,8.00,11.33,2020,Rioja Direct,stock,2025-03-14,active
W-105,Sauvignon Blanc Reserve,1x75cl,11.25,18.02,2025,Barossa Exports,stock,2025-10-13,active
W-106,Bual Madeira Classic,1x75cl,24.00,29.74,2019,Douro Trading,stock,2025-07-07,active
W-106,Bual Madeira Classic,1x75cl,24.00,32.74,2019,Douro Trading,stock,2025-03-10,superseded
W-107,Semillon Old Vines,1x75cl,8.50,9.94,2000,Napa Ridge Imports,stock,2025-02-06,void
W-107,Semillon Old Vines,1x75cl,8.50,11.94,2000,Napa Ridge Imports,stock,2025-06-20,active
W-108,Cava Gran Reserva Coastal,1x75cl,60.00,77.50,NV,Reims Cellars,stock,2025-05-18,active
W-109,Sauvignon Blanc Cru,1x75cl,14.25,19.88,1999,Mendoza Andes SA,stock,2025-06-08,active
W-110,Montepulciano Coastal,1x75cl,11.00,15.16,2021,Mosel Handel,Stock,2025-09-21,active
W-111,Barbera d'Asti Reserve,1x75cl,60.25,82.10,2025,Wachau Kellerei,stock,2025-01-26,active
W-112,Asti Spumante Single Vineyard,3x75cl,136.50,183.84,NV,Reims Cellars,Stock,2025-05-25,active
W-113,Carmenere Reserve,1x75cl,13.50,18.36,2026,Napa Ridge Imports,Futures,2025-10-08,active
W-114,Cabernet Sauvignon Single Vineyard,6x75cl,229.50,280.50,2025,Finger Lakes Co,stock,2025-08-20,active
W-115,Nerello Mascalese Reserve,6x75cl,192.00,246.30,2017,Mosel Handel,Stock,2025-10-12,active
W-116,Oloroso Sherry Estate,1x75cl,11.25,15.40,NV,Douro Trading,Stock,2025-04-18,active
W-117,Sangiovese Village,1x75cl,24.00,31.15,1999,Wachau Kellerei,stock,2025-05-10,active
W-118,Corvina Old Vines,12x75cl,99.00,140.04,2021,Finger Lakes Co,Stock,2025-02-01,active
W-119,Lambrusco Secco Hillside,1x75cl,27.50,36.14,2020,Loire Direct,stock,2025-05-26,active
W-119,Lambrusco Secco Hillside,1x75cl,27.50,34.64,2020,Loire Direct,stock,2025-04-22,superseded
W-120,Chianti Riserva Futures,6x75cl,150.00,198.00,2026,Tuscan Vines,futures,2025-07-14,superseded
W-120,Chianti Riserva Futures,6x75cl,150.00,192.00,2026,Tuscan Vines,futures,2025-09-10,active
W-121,Colheita Port,1x75cl,23.25,29.50,NV,Douro Trading,stock,2025-05-12,active
W-122,Crusted Port,1x75cl,23.25,29.50,NV,Douro Trading,stock,2025-05-11,active
W-122,Crusted Port,1x75cl,23.25,29.50,NV,Douro Trading,stock,2025-06-02,superseded
W-133,Bolgheri Rosso,1x75cl,12.00,16.60,2022,Tuscan Vines,stock,2025-08-20,active
W-133,Bolgheri Rosso,1x75cl,12.00,16.60,2022,Tuscan Vines,stock,2025-09-05,void
W-123,Morellino di Scansano,1x75cl,12.00,16.60,2022,Tuscan Vines,stock,2025-09-01,active
W-124,Rosso di Montalcino,1x75cl,12.00,16.60,2022,Tuscan Vines,stock,2025-08-31,active
W-125,Grenache Barossa,1x75cl,11.00,16.20,2021,Barossa Exports Pty,stock,2025-11-03,active
W-126,Mataro Barossa,1x75cl,11.00,16.20,2021,Barossa Exports Pty,stock,2025-09-29,active
W-127,Saint-Estephe,6x75cl,330.00,450.00,2026,Left Bank Brokers,futures,2025-07-08,active
W-128,Rioja Gran Reserva,1x75cl,26.00,33.00,2015,Rioja Direct SL,stock,2025-04-20,active
W-129,Spatlese Reserve,1x75cl,15.00,17.00,2021,Mosel Handel,stock,2025-03-02,superseded
W-129,Spatlese Reserve,1x75cl,15.00,17.50,2021,Mosel Handel,stock,2025-04-09,void
W-130,Champagne Demi-Sec,1x75cl,30.00,36.00,NV,Reims Cellars,stock,2025-02-20,void
W-131,Zibibbo,1x75cl,9.00,13.00,2023,Tuscan Vines,stock,2025-05-05,active
W-132,Kerner,1x75cl,10.00,13.90,2022,Wachau Kellerei,stock,2025-06-15,active
